vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id
1,Trailer,623,2021,BST2021D,Silver,2021-11-05,102
2,"Boat Trailer",623,2021,"OUTBACK BOATS FT470",Silver,2021-12-13,105
3,"Boat Trailer",623,2021,"ASD JETSKI",Silver,2022-02-13,102
4,Trailer,623,2021,"MSC 7X4",Silver,2021-11-13,106
5,Trailer,623,2018,"D-MAX 8X5",Silver,2022-01-10,102
6,Roadbike,636,2005,YZF-R6T,Black,2021-12-31,102
7,Trailer,623,2021,"CAAR TRANSPORTER",Silver,2021-11-12,114
8,"Boat Trailer",623,2001,BOAT,Silver,2022-02-22,109
9,Trailer,514,2021,"7X4-6" 1000KG",Silver,2022-02-25,115
10,Trailer,514,2020,"8X4 TANDEM",Silver,2022-01-03,114
11,Trailer,623,2018,HOMEBUILT,Silver,2021-10-15,108
12,Trailer,538,2018,"BRENT SMITH TRAILERS",Silver,2022-02-28,102
13,Moped,629,2004,ET2,Black,2021-12-19,102
14,Moped,550,2007,TODAY,Blue,2022-01-23,102
15,Roadbike,611,2007,DL650,Black,2022-02-28,101
16,Trailer,623,2021,JOBMATE,Silver,2022-02-08,109
17,Trailer,623,2021,BSTB85B,Silver,2021-10-10,102
18,"Boat Trailer",623,2004,BOAT,White,2021-10-07,104
19,Trailer,623,2014,"DOMESTIC TRAILER",White,2022-02-24,104
20,"Boat Trailer",623,2018,"APS SEADOO",Silver,2021-11-08,114
21,Roadbike,625,2002,THUNDERBIRD,Silver,2022-02-11,101
22,Trailer,538,2000,"BRENT SMITH TRAILERS",Silver,2021-11-22,104
23,Trailer,623,2015,LOCAL,Silver,2022-01-27,114
24,"Trailer - Heavy",623,2021,"CT DIG 25",Silver,2021-11-12,102
25,Trailer,623,2018,"CHOOKS 2.4X1.6 TRANS",Silver,2021-10-08,106
26,Trailer,623,2017,"EASY TILT",Silver,2022-03-04,108
27,Trailer,623,2018,"IFOR WILLIAMS CT177",Silver,2022-02-27,103
28,Trailer,623,2018,CONDOR,Silver,2022-02-01,109
29,Trailer,623,2018,HOMEBUILT,Silver,2021-11-01,104
30,Trailer,623,2018,"PRO COMMERCIAL",Silver,2021-12-21,102
31,Trailer,623,2018,FACTORY,Grey,2022-01-03,102
32,Trailer,549,1998,TRAILER,Green,2021-10-21,114
33,"Boat Trailer",623,2017,"JFK JETSKI",Grey,2022-02-15,104
34,Trailer,623,2021,"BST 2021D",Silver,2022-01-05,102
35,Trailer,514,2021,"10X5 TANDEM",Silver,2022-04-05,114
36,Trailer,623,2018,HOMEMADE,Grey,2022-02-17,103
37,Trailer,623,2018,COMPASS-KH63,Silver,2022-02-23,102
38,Trailer,623,2018,TRAYLA,Silver,2022-01-17,109
39,"Trailer - Heavy",623,2021,PRESCOTT,Silver,2021-12-03,104
40,Trailer,549,2021,TRAILER,Black,2021-12-27,109
41,Trailer,623,2021,TRAYLA,Silver,2022-03-02,106
42,Trailer,623,2002,HOMEMADE,Silver,2022-01-02,102
43,"Boat Trailer",623,2018,BST58OR,Silver,2022-02-24,102
44,Trailer,549,2018,TRAILER,Silver,2022-02-28,114
45,Trailer,623,2014,"DOMESTIC TRAILER",Silver,2021-10-19,104
46,Moped,538,2005,"TGB PALIO",Silver,2021-11-09,106
47,"Trailer - Heavy",623,2004,TANDEM,Grey,2021-11-05,102
48,Trailer,527,2021,TRAILER,Silver,2022-03-02,102
49,Trailer,623,2021,DOMESTIC,Grey,2021-10-22,102
50,Trailer,623,2021,"M J TANDEM AXLE",Silver,2022-01-20,114
51,Trailer,514,2021,"8X4 CAGE",Silver,2021-12-07,102
52,Caravan,537,2003,"RIVIERA 482",White,2021-10-13,114
53,Roadbike,636,1995,XTZ660BG,Blue,2022-03-21,111
54,Roadbike,561,1999,NINJA,Green,2022-02-15,104
55,"Trailer - Heavy",623,2021,PRESCOTT,Silver,2022-02-06,104
56,"Trailer - Heavy",623,2000,BRIFORD,Yellow,2022-03-05,102
57,"Boat Trailer",623,2021,"ASD JETSKI",Silver,2022-02-21,102
58,Trailer,623,1997,"BRIFORD 8X4-6COVERED",Yellow,2021-11-05,105
59,Trailer,623,2021,HOMEBUILT,Black,2022-03-06,102
60,Trailer,623,1983,OLEARY,Red,2022-01-02,108
61,Trailer,623,2021,"TRAILERWORLD 9X5 HSB",Silver,2022-03-26,102
62,Trailer,623,2018,"SINGLE AXLE",Silver,2021-10-10,102
63,Moped,550,2008,"TODAY 50",Yellow,2021-12-19,104
64,Trailer,623,2018,"IFOR WILLIAMS",Black,2022-01-06,104
65,Trailer,623,2014,PRESCOTT,Silver,2022-03-24,104
66,"Boat Trailer",623,2014,SPORTLINE,Silver,2021-10-21,105
67,Hatchback,540,2006,FOCUS,Blue,2021-11-13,105
68,"Trailer - Heavy",623,2014,"TILTING FLAT DECK",Silver,2021-11-08,105
69,Trailer,623,2014,PMTRAILER,Silver,2022-01-24,114
70,"Boat Trailer",551,2014,"BOAT TRAILER",Silver,2022-04-04,103
71,Trailer,623,2014,TRAYLA,Silver,2022-02-24,107
72,Trailer,623,2014,ELITE,Silver,2022-02-04,102
73,Trailer,623,2014,"ELITE 7X4",Silver,2022-01-14,114
74,Caravan,591,1969,PIONEER,White,2021-11-27,104
75,Saloon,512,2007,323I,White,2022-03-23,102
76,Trailer,623,2015,"7 X 4 STD",Silver,2022-01-05,102
77,Trailer,623,2011,HOMEBUILT,Grey,2022-04-02,102
78,"Boat Trailer",623,2015,ENDURO,Silver,2022-01-06,104
79,Trailer,623,2015,TRAYLA,Silver,2022-02-28,106
80,Trailer,623,2015,"ELITE 8X5",Silver,2022-01-14,114
81,Trailer,623,2015,"COMPASS D105",Silver,2021-10-18,102
82,Trailer,623,2015,"DOMESTIC TRAILER",Silver,2022-03-16,103
83,"Trailer - Heavy",623,1998,TANK,White,2022-01-18,104
84,Stationwagon,507,2015,ALLROAD,Silver,2022-04-03,109
85,Trailer,623,2015,"ELITE 8X4",Silver,2022-01-04,114
86,Roadbike,629,2001,PIAGGIO,Silver,2021-12-06,102
87,Trailer,623,2015,"HELMACK 8X5",Silver,2022-01-19,114
88,Trailer,623,1984,LOCAL,Yellow,2022-03-21,102
89,Trailer,623,2015,"SINGLE AXLE",Silver,2022-03-01,103
90,"Boat Trailer",623,2008,BOAT,Silver,2022-02-22,104
91,Trailer,623,1990,HOMEBUILT,Blue,2022-01-20,104
92,Trailer,623,2000,PRESCOTT,Silver,2022-03-08,104
93,Trailer,549,1996,TRAILER,Silver,2022-03-24,102
94,Trailer,623,2018,COMPASS-C85,Silver,2022-03-18,102
95,Trailer,616,2018,"DOMESTIC TRAILER",Silver,2021-12-28,102
96,Trailer,527,1985,TANDEM,Silver,2022-01-13,102
97,Roadbike,550,2005,VT,Red,2022-03-19,102
98,Roadbike,550,2000,CBR,Blue,2022-01-31,114
99,Trailer,623,2022,HOMEBUILT,Black,2022-02-14,102
100,"Boat Trailer",623,2021,"JETSKI ACTION LAB",Grey,2021-12-30,103
101,Trailer,623,2000,HOMEBUILT,Silver,2022-01-29,106
102,Trailer,549,2022,TRAILER,Black,2022-03-12,104
103,Trailer,623,1998,"MARTIN ENGINEERING",White,2022-03-28,102
104,Trailer,623,2018,TUFF,Silver,2021-11-22,104
105,Trailer,623,1977,LOCAL,Brown,2021-12-03,104
106,"Trailer - Heavy",623,2018,"8X4 TRAYLA",Silver,2022-02-01,106
107,Trailer,623,1980,HOMEMADE,Blue,2022-03-20,111
108,"Trailer - Heavy",623,2018,NYMIC,White,2022-04-03,114
109,Trailer,623,2022,TRAILER,Silver,2022-02-09,102
110,Trailer,623,2019,TANDEM,Grey,2022-02-23,109
111,Trailer,623,2022,COMPASS-D116K,Silver,2022-03-15,106
112,Roadbike,545,2004,FXSTDI,Red,2022-01-16,102
113,Trailer,623,1967,LOCAL,Grey,2021-10-19,114
114,Caravan,519,2006,"SWIFT CHARISMA 230",White,2022-02-27,102
115,Trailer,623,2018,TANK,Silver,2022-03-29,114
116,Tractor,575,2007,FERGUSSON,Red,2022-01-23,103
117,Trailer,623,2022,BST85,Silver,2022-03-15,109
118,Roadbike,611,2003,LS650P,Black,2021-12-03,101
119,"Boat Trailer",626,2022,"JET SKI",Black,2022-03-19,102
120,Trailer,623,2022,VULCAN,Silver,2022-03-04,102
121,"Boat Trailer",549,1989,"EZ LOADER STABI CRAF",Grey,2021-10-12,114
122,"Boat Trailer",623,2017,MCLAY,Silver,2022-03-19,105
123,Trailer,623,2019,"ENSOL TANKER",Silver,2022-02-28,108
124,Roadbike,561,2008,EX,Red,2022-04-02,102
125,Moped,585,2008,"HYOSUNG SB49M",Red,2022-01-29,102
126,Trailer,623,1996,BRIFORD,Grey,2022-03-13,114
127,"Boat Trailer",623,2000,REID,Silver,2022-02-03,102
128,"Boat Trailer",549,1994,15X7,White,2022-01-01,114
129,Trailer,623,1998,KEA,Grey,2021-11-16,111
130,Trailer,623,2019,ROADCHIEF,Grey,2022-01-20,101
131,Roadbike,565,2002,EXC,Orange,2022-02-13,101
132,Trailer,623,2019,JOBMATE,Silver,2022-03-13,104
133,Trailer,623,2022,"ENSOL TANKER",Silver,2022-04-01,108
134,Trailer,623,2019,"BRAKED TANDEM",Silver,2021-12-17,104
135,Trailer,623,1980,HARENG,Grey,2021-12-31,103
136,Trailer,623,2019,HOMEBUILT,Silver,2022-03-13,115
137,Trailer,616,2019,"DOMESTIC TRAILER",Silver,2021-10-29,102
138,Trailer,623,1962,HOMEMADE,Green,2022-02-16,114
139,Trailer,623,1997,"SPACEE 2000",White,2021-11-16,107
140,Trailer,514,2018,"8X4 TANDEM TIPPER",Silver,2022-03-18,114
141,Trailer,538,2019,"BRENT SMITH TRAILERS",Silver,2021-12-30,109
142,Trailer,623,2019,TASMAN8X5TB,Silver,2021-10-10,111
143,"Boat Trailer",623,2019,MAKZ,Silver,2021-12-14,109
144,Trailer,595,2019,"ENCLOSED TRAILER",Silver,2021-10-19,102
145,Trailer,623,2019,"ELITE 8X4",Silver,2022-02-28,114
146,"Trailer - Heavy",623,2019,TRANSPORTER,Silver,2021-12-27,105
147,Trailer,623,2019,DOMESTIC,Grey,2022-03-09,102
148,Trailer,538,2015,"DOMESTIC TRAILER",Silver,2022-03-21,101
149,"Trailer - Heavy",514,2015,"TRAILER 8X4",Silver,2021-12-08,102
150,Caravan,519,2008,"XPLORE 452",White,2021-12-26,104
151,Trailer,595,2015,"BRAKED TANDEM",Silver,2022-02-18,103
152,Trailer,623,2015,HOBBS,Silver,2021-11-12,105
153,Trailer,623,2015,WILPRO,Silver,2021-11-22,104
154,"Trailer - Heavy",514,2015,TRAILER,Silver,2022-01-24,102
155,"Trailer - Heavy",514,2015,TRAILER,Silver,2022-03-08,102
156,"Trailer - Heavy",514,2015,"OTHER COMMERCIAL TRA",Silver,2022-01-06,114
157,Trailer,623,2015,"SINGLE AXLE 7X4",Silver,2022-02-19,114
158,Caravan,606,2007,"ALPINE  4T2A",White,2022-01-29,109
159,Trailer,623,2015,"FACTORY BUILT",Silver,2022-01-10,106
160,Saloon,587,1989,SKYLINE,Blue,2022-02-03,109
161,"Boat Trailer",623,2015,"YAMAHA VXR",Silver,2021-11-10,114
162,"Trailer - Heavy",514,2015,TRAILER,Silver,2021-10-12,109
163,Trailer,623,2015,ROADLINE,Silver,2021-10-30,101
164,Trailer,623,2015,TRAYLA,Silver,2022-01-13,109
165,"Trailer - Heavy",514,2015,TRAILER,Silver,2021-12-31,103
166,"Trailer - Heavy",514,2015,TRAILER,Silver,2021-12-08,102
167,Caravan,525,1972,"HALF VISTA",Red,2022-03-16,104
168,"Trailer - Heavy",623,2015,"CANTERBURY FABRICAT",White,2022-03-08,107
169,Trailer,623,2015,"4.5M FLATDECK",Silver,2022-01-28,103
170,"Trail Bike",565,2020,SFX,Orange,2021-11-08,114
171,Trailer,623,2016,"ELITE 8X4",Silver,2022-03-30,114
172,Trailer,623,2019,"ROADCHIEF 8X5",Silver,2022-03-24,115
173,Trailer,623,1998,LOCAL,Silver,2021-12-25,107
174,"Boat Trailer",623,2012,BOAT,Silver,2021-12-22,102
175,"Trailer - Heavy",623,2019,"MM INDUSTRIES",Silver,2021-10-11,102
176,Trailer,562,2019,KC85E,Silver,2022-04-01,104
177,Trailer,562,2019,KC106AB,Silver,2022-03-29,103
178,"Boat Trailer",623,2019,"BOAT TRAILER",Silver,2022-02-12,102
179,"Trailer - Heavy",562,2019,CAGE,Silver,2021-11-24,103
180,Moped,629,1963,SPORTIQUE,Cream,2021-12-07,115
181,Trailer,514,2019,5X4,Silver,2021-11-02,114
182,Trailer,623,2019,CTDIG,Silver,2021-11-22,104
183,Roadbike,611,2005,DR-Z400,Yellow,2021-10-12,114
184,Trailer,599,2019,"DOMESTIC TRAILER",Grey,2021-10-28,101
185,Trailer,549,1990,TRAILER,Blue,2022-03-19,109
186,Trailer,623,1981,HOMEMADE,Grey,2022-02-16,102
187,Trailer,623,2019,TRAYLA,Silver,2022-02-04,106
188,"Boat Trailer",513,2019,357J,Silver,2021-12-16,102
189,Trailer,623,2019,"SMASH PALACE",Silver,2022-03-07,114
190,Trailer,623,1996,"BRIFORD 5X4 SHUTTLE",White,2021-10-31,114
191,Trailer,623,2019,DIAMOND,Silver,2022-01-19,106
192,Trailer,562,2019,K844XA,Silver,2022-04-02,103
193,Trailer,623,2019,TUFF,Silver,2021-11-01,102
194,Caravan,623,2006,DMW,White,2021-12-07,102
195,"Trailer - Heavy",514,2015,TRAILER,Silver,2022-03-08,102
196,Trailer,623,1979,HOMEMADE,Green,2021-12-02,114
197,"Trailer - Heavy",623,2019,"CABLE DRUM",Silver,2022-03-13,111
198,Trailer,623,1999,LOCAL,Silver,2022-02-02,102
199,Trailer,623,1998,KING,Silver,2022-02-19,106
200,Trailer,623,2001,"HOME BUILT",Grey,2021-10-14,115
201,"Trailer - Heavy",623,2019,"IFOR WILLIAMS",Silver,2022-01-07,101
202,Trailer,623,1977,LOCAL,Orange,2021-10-25,104
203,Roadbike,625,2004,SPEEDTRIPLE,Red,2022-02-10,108
204,Trailer,623,2019,DOLY,Grey,2021-11-29,106
205,Trailer,623,2019,"SINGLE AXLE",Grey,2021-12-15,114
206,Roadbike,611,2005,GN250,Black,2022-04-02,102
207,Roadbike,550,1985,XL250,White,2022-03-27,109
208,Trailer,623,2019,ROOFLINE,Grey,2022-02-14,111
209,Trailer,623,2019,"T D ENGINEERING",Silver,2022-03-17,107
210,Trailer,623,2015,"TRADETESTED 7 X 4",Silver,2021-10-12,102
211,Trailer,623,2015,VULCAN,Silver,2021-11-01,102
212,Trailer,623,2016,"HOME MADE",Grey,2022-03-01,109
213,Caravan,504,1976,CARAVAN,White,2021-12-01,102
214,"Trailer - Heavy",597,2015,TRAILER,Silver,2021-10-11,102
215,Trailer,572,2015,"DOMESTIC TRAILER",Silver,2022-04-03,115
216,Trailer,514,2008,"TRAILER 8X4",Silver,2022-02-10,102
217,"Trailer - Heavy",623,1985,SLOAN,Blue,2022-02-22,103
218,Trailer,616,2015,7X4,Silver,2021-12-23,102
219,Trailer,623,2002,HOMEBUILT,Grey,2022-01-31,114
220,Trailer,623,2016,DOMESTIC,Silver,2021-11-22,101
221,"Boat Trailer",623,2000,JETSKI,Black,2021-12-25,103
222,Trailer,623,2016,TANDEM,Silver,2022-04-04,106
223,"Trailer - Heavy",623,2016,FURN,White,2022-01-17,104
224,Trailer,572,2016,"3X2 PLATFORM",Silver,2022-02-27,115
225,Trailer,623,2019,HOMEBUILT,Silver,2022-01-26,108
226,Trailer,623,2019,GORILLA,Silver,2022-01-25,114
227,Roadbike,611,2007,UZ,Grey,2021-12-18,102
228,Trailer,549,1990,TRAILER,Grey,2022-02-10,114
229,Caravan,525,1979,DIPLOMAT,Blue,2022-01-28,108
230,"Trailer - Heavy",623,1976,LOCAL,Silver,2022-01-22,108
231,Trailer,549,1987,TRAILER,Red,2022-03-05,115
232,Trailer,616,2019,"DOMESTIC TRAILER",Silver,2022-03-03,102
233,Trailer,623,2019,HOMEMADE,Silver,2021-12-06,108
234,Moped,594,1998,MOTORCYCLE,Blue,2021-11-06,102
235,Roadbike,611,2003,GSX250,Silver,2021-12-30,104
236,Roadbike,611,2009,VL800,Black,2022-03-31,102
237,Trailer,623,2002,"DOMESTIC TRAILER",Grey,2021-12-29,102
238,Trailer,514,2019,"8X5 TANDEM",Silver,2022-01-09,114
239,Trailer,623,2016,KEA,Silver,2021-10-14,102
240,Trailer,623,2019,TANDEM,Silver,2022-02-16,114
241,Roadbike,611,2007,VL800,Black,2022-01-17,102
242,Trailer,549,1977,"OLEARY 1 AXLE",Silver,2022-03-02,107
243,Trailer,623,2001,"DOMESTIC TRAILER",Silver,2022-01-13,108
244,"Boat Trailer",623,2019,HOMEBUILT,Silver,2021-12-15,102
245,"Boat Trailer",623,2019,BOAT,Silver,2022-01-31,101
246,Trailer,623,2019,HOMEBUILT,Black,2021-11-17,106
247,Trailer,516,2019,"8X5 TANDEM TRAILER",Silver,2021-10-18,114
248,"Boat Trailer",623,2019,BOAT,Silver,2022-03-04,102
249,Trailer,623,2019,"M J SINGLE AXLE",Silver,2022-01-24,114
250,Trailer,549,2019,"DOMESTIC TRAILER",Black,2022-01-06,102
251,Trailer,623,1940,HOMEBUILT,White,2021-11-26,115
252,Trailer,538,2019,"DOMESTIC TRAILER",Silver,2022-03-21,109
253,"Trailer - Heavy",623,2019,ROADCHIEF,Silver,2021-10-24,104
254,Trailer,623,1997,K64SE,Silver,2021-11-04,111
255,Trailer,623,1997,OLEARY,Silver,2022-04-04,108
256,"Boat Trailer",623,2001,LOCAL,Silver,2022-03-15,101
257,Trailer,623,2017,CONCEPT,Silver,2021-10-28,108
258,Trailer,616,2019,"DOMESTIC TRAILER",Silver,2022-03-25,109
259,"Boat Trailer",549,2019,"BOAT TRAILER",Silver,2021-10-29,102
260,Roadbike,636,2005,YZF-R6T,Grey,2022-02-17,102
261,Trailer,538,2019,"TRAILUX TRAILER",Silver,2022-03-31,109
262,Trailer,623,2016,"ELITE 8X4",Silver,2022-02-04,114
263,Trailer,623,2016,UTILITY,Silver,2022-03-22,102
264,"Trailer - Heavy",623,2016,"GT TRAILER",Silver,2021-10-29,114
265,Caravan,630,2016,710,White,2022-03-28,103
266,Trailer,616,2016,"8X5 SINGLE",Silver,2022-03-23,102
267,Trailer,549,2016,"HOME BUILD",Silver,2021-12-07,114
268,Trailer,549,2004,TRAILER,Blue,2022-03-20,114
269,Trailer,623,2016,"COMPASS C85",Silver,2021-12-11,103
270,"Trailer - Heavy",514,2016,TRAILER,Silver,2021-12-07,102
271,Trailer,514,2016,TRAILER,Silver,2022-01-14,114
272,"Trailer - Heavy",623,2016,"GT TRAILER",Silver,2021-10-29,102
273,Trailer,549,1960,TRAILER,White,2022-01-01,114
274,"Trailer - Heavy",623,2013,"MAINLINE TANKER",Grey,2021-11-08,102
275,"Trailer - Heavy",527,2016,TBS,Grey,2021-10-12,102
276,Trailer,623,2016,"GOUGH ENGINEERING",Silver,2022-03-25,103
277,"Trailer - Heavy",514,2016,TRAILER,Silver,2021-11-08,102
278,Trailer,623,2016,"COMPASS KH85T",Silver,2022-02-23,102
279,Trailer,514,2016,6X4,Grey,2021-12-01,102
280,Trailer,623,2016,"ELITE 8X4",Silver,2022-01-30,114
281,Saloon,576,1993,LANTIS,Blue,2022-02-14,103
282,Trailer,623,2016,TUFF,Silver,2021-11-01,102
283,"Trailer - Heavy",514,2016,TRAILER,Silver,2021-11-15,102
284,"Trailer - Heavy",514,2016,"OTHER COMMERCIAL TRA",Silver,2022-03-08,104
285,"Trailer - Heavy",514,2016,"OTHER COMMERCIAL TRA",Silver,2022-01-17,103
286,"Boat Trailer",623,2016,"AAA375 AAKRON",Silver,2022-01-29,102
287,Caravan,519,2007,"LUNA DELTA",White,2022-03-24,109
288,Trailer,623,2016,VULCAN,Silver,2021-10-31,102
289,Trailer,623,2016,TUFF,Silver,2021-10-28,104
290,"Boat Trailer",527,2016,4,Grey,2021-10-22,114
291,"Trailer - Heavy",623,2010,FLATDECK,Blue,2021-11-08,114
292,Trailer,514,2016,"TRAILER 8X4",Silver,2021-11-25,102
293,Roadbike,611,2005,"GSX 750",Blue,2022-03-26,102
294,Trailer,514,2019,8X4,Silver,2022-02-16,114
295,"Boat Trailer",635,1998,JII,Silver,2022-01-05,104
296,"Boat Trailer",623,2000,HOSKING,Silver,2021-12-26,102
297,"Boat Trailer",623,2019,"SPORTLINE 610 HT",Grey,2022-03-30,103
298,Roadbike,505,1998,PEGASO,Red,2022-04-05,115
299,Moped,636,2007,"CV50 JOG",Blue,2021-10-26,102
300,Trailer,623,2019,"HANSA CHIPPER",Green,2022-02-02,103
301,Roadbike,611,2007,GSX600F,Black,2022-03-02,101
302,Trailer,562,2020,"KEA MX4",Silver,2021-12-02,102
303,Trailer,514,1985,"SINGLE AXLE",Grey,2022-02-05,114
304,Roadbike,611,2008,GSX,Orange,2022-03-13,102
305,"Boat Trailer",623,2020,"AFC JETSKI",Silver,2021-11-15,109
306,Trailer,535,1977,RSKF1F27.9,Red,2021-11-04,102
307,"Boat Trailer",623,2020,"ASD JETSKI",Silver,2022-01-04,102
308,Caravan,508,2009,"PEGEANT S7 LOIRE",White,2021-12-19,102
309,"Boat Trailer",623,2020,JETSKI,Grey,2022-04-02,101
310,Roadbike,561,1986,"ZL 900",Red,2021-11-30,101
311,"Boat Trailer",623,2020,JETSKI,Silver,2022-03-30,103
312,Trailer,623,2020,BRI-INN,Silver,2022-03-07,114
